Id,Title,CategoryId
548,بوت و نیم بوت,17
549,صندل,17
559,ست,1
560,ست آقا و خانم,559
561,ست,2
562,ست,3
563,ست,4
564,ست,5
565,بادی,22
566,جوراب,10
567,جوراب و جوراب شلواری,13
568,جوراب,567
569,جوراب شلواری,567
570,ساق شلواری,567
571,جوراب,16
572,جوراب شلواری,22
573,جوراب,22
574,ست لباس زیر,22
575,شورت,169
576,صندل,23
577,کتونی,23
578,کمربند و ساسبند,18
579,کمربند,578
580,ساسبند,578
581,وست,622
598,کتونی,20
599,صندل,20
600,بوت و نیم بوت,20
617,ربدوشامبر,27
618,شنل,13
619,ربدوشامبر,156
620,کت,22
622,سارافون و وست,13
623,سارافون,622
624,پیراهن,102
625,ست پوشاک,559
626,ست پوشاک,561
627,ست پوشاک,562
628,ست پوشاک,563
629,ست,6
630,ست پوشاک,629
631,جلیقه,144
632,نوزادی,0
633,لباس,632
634,کفش,632
635,اکسسوری,632
636,ست,632
637,لباس راحتی,633
638,دامن و سارافون,633
639,لباس زمستانه,633
640,پیراهن,633
641,سویشرت و هودی,633
642,"تیشرت، پولوشرت و تاپ",633
643,جوراب و جوراب شلواری,633
644,لباس زیر,633
645,بادی,633
646,شلوار و سرهمی,633
647,کفش,634
648,صندل,634
649,کیف,635
650,دستکش,635
651,کلاه و هدبند,635
652,دامن,638
653,سارافون,638
654,کاپشن,639
655,سویشرت,641
656,هودی,641
657,تیشرت,642
658,پولوشرت,642
659,تاپ,642
660,جوراب,643
661,جوراب شلواری,643
662,شلوار,646
663,سرهمی,646
664,کلاه,651
665,هدبند,651
666,لباس راحتی,74
667,بافت,32
668,بافت,65
669,بافت,159
670,پافر,159
671,نیم تنه,22
672,کفش,23
